scan,direction,j0,phi_corr,j0_var,phi_corr_var,C,ndata
0,up,1.229654128174214e-06,-0.4794320449770746,3.450965780756856e-16,2.951706683796963e-08,77.8475524898126,37
0,down,1.229654128174214e-06,-0.4794320449770746,3.450965780756856e-16,2.951706683796963e-08,77.8475524898126,37
1,up,1.3423873079967052e-06,-0.48295537047466125,6.546652641658282e-16,4.520446447369838e-08,77.8475524898126,338
1,down,1.3423873079967052e-06,-0.48295537047466125,6.546652641658282e-16,4.520446447369838e-08,77.8475524898126,338
2,up,1.2192347517204137e-06,-0.47309044807438755,7.659251854838322e-16,6.684887401827872e-08,77.8475524898126,37
2,down,1.2192347517204137e-06,-0.47309044807438755,7.659251854838322e-16,6.684887401827872e-08,77.8475524898126,37
3,up,2.0583168408254937e-06,-0.48220374750154416,2.5517789687814927e-15,7.741872796220611e-08,77.8475524898126,342
3,down,2.0583168408254937e-06,-0.48220374750154416,2.5517789687814927e-15,7.741872796220611e-08,77.8475524898126,342
4,up,9.617347230374491e-07,-0.5022626557481834,1.989643020310922e-16,2.856261576588947e-08,77.8475524898126,38
4,down,9.617347230374491e-07,-0.5022626557481834,1.989643020310922e-16,2.856261576588947e-08,77.8475524898126,38
5,up,1.3025966219865244e-06,-0.5046779747783733,1.6193348844954183e-14,1.2780165107499958e-06,77.8475524898126,353
5,down,1.3025966219865244e-06,-0.5046779747783733,1.6193348844954183e-14,1.2780165107499958e-06,77.8475524898126,353
6,up,1.0794841472830543e-06,-0.48101219987051436,1.4570092704734204e-15,1.6350348373166148e-07,77.8475524898126,38
6,down,1.0794841472830543e-06,-0.48101219987051436,1.4570092704734204e-15,1.6350348373166148e-07,77.8475524898126,38
7,up,1.2644867908070984e-06,-0.4881902365742875,3.1236787324795623e-15,2.431707855089373e-07,77.8475524898126,342
7,down,1.2644867908070984e-06,-0.4881902365742875,3.1236787324795623e-15,2.431707855089373e-07,77.8475524898126,342
