,potential_V,current_A,j_A/mm2,abs_j_A/mm2,progress
184,-0.49906490000000003,-0.00029214759999999997,-1.91306798049907e-06,1.91306798049907e-06,0.3524904214559387
185,-0.4980348,-0.0002754852,-1.8039577091216308e-06,1.8039577091216308e-06,0.3544061302681992
186,-0.49700659999999997,-0.0002588559,-1.6950641862307589e-06,1.6950641862307589e-06,0.3563218390804598
187,-0.49597209999999997,-0.0002427389,-1.5895253536622097e-06,1.5895253536622097e-06,0.3582375478927203
188,-0.49494449999999995,-0.0002267962,-1.485127888501782e-06,1.485127888501782e-06,0.36015325670498083
189,-0.4939197,-0.00021094490000000003,-1.3813289372891593e-06,1.3813289372891593e-06,0.3620689655172414
190,-0.492888,-0.0001947555,-1.2753160083330709e-06,1.2753160083330709e-06,0.3639846743295019
191,-0.4918409000000001,-0.00017944880000000002,-1.175083257295222e-06,1.175083257295222e-06,0.36590038314176243
193,-0.4897479,-0.0001475994,-9.66524065509607e-07,9.66524065509607e-07,0.3697318007662835
194,-0.4887108,-0.0001334867,-8.74109975890561e-07,8.74109975890561e-07,0.37164750957854403
195,-0.4876852,-0.0001180014,-7.727076997862142e-07,7.727076997862142e-07,0.3735632183908046
196,-0.48667079999999996,-0.00010305420000000001,-6.748290599544452e-07,6.748290599544452e-07,0.37547892720306514
197,-0.48566590000000004,-8.869466000000001e-05,-5.807985897787683e-07,5.807985897787683e-07,0.37739463601532564
198,-0.48467330000000003,-7.448566e-05,-4.877538995779544e-07,4.877538995779544e-07,0.3793103448275862
199,-0.4836303,-5.9833199999999995e-05,-3.9180530352053877e-07,3.9180530352053877e-07,0.38122605363984674
200,-0.4826318,-4.5101809999999996e-05,-2.9533985072460893e-07,2.9533985072460893e-07,0.38314176245210724
201,-0.48156640000000006,-3.0299540000000003e-05,-1.984102549459616e-07,1.984102549459616e-07,0.3850574712643678
202,-0.4805661,-1.522646e-05,-9.970731603596906e-08,9.970731603596906e-08,0.38697318007662834
203,-0.47954399999999997,-8.783286e-07,-5.751552711768215e-09,5.751552711768215e-09,0.3888888888888889
204,-0.4785293,1.3244670000000002e-05,8.672997515391749e-08,8.672997515391749e-08,0.3908045977011494
205,-0.47750459999999995,2.7640300000000004e-05,1.809967732111729e-07,1.809967732111729e-07,0.39272030651340994
206,-0.4764765,4.1734449999999995e-05,2.732893920016437e-07,2.732893920016437e-07,0.3946360153256705
207,-0.4754871,5.656468000000001e-05,3.704020780426612e-07,3.704020780426612e-07,0.396551724137931
208,-0.47445600000000004,7.115284e-05,4.659296188829669e-07,4.659296188829669e-07,0.39846743295019155
209,-0.47343729999999995,8.563576999999999e-05,5.607680828881799e-07,5.607680828881799e-07,0.4003831417624521
210,-0.472393,0.000100872,6.605393757432963e-07,6.605393757432963e-07,0.4022988505747126
211,-0.47139390000000003,0.00011503110000000001,7.532573061410966e-07,7.532573061410966e-07,0.40421455938697315
212,-0.4703549,0.0001305907,8.551461203890087e-07,8.551461203890087e-07,0.4061302681992337
213,-0.46931049999999996,0.000145635,9.536605994366618e-07,9.536605994366618e-07,0.40804597701149425
214,-0.4682901,0.0001588146,1.0399644771881324e-06,1.0399644771881324e-06,0.40996168582375475
215,-0.46726840000000003,0.0001739207,1.1388836407212815e-06,1.1388836407212815e-06,0.4118773946360153
216,-0.4662936,0.0001897653,1.2426387183731792e-06,1.2426387183731792e-06,0.41379310344827586
217,-0.46530390000000005,0.0002055614,1.3460762038317672e-06,1.3460762038317672e-06,0.41570881226053635
218,-0.46430379999999993,0.0002211648,1.4482518332975549e-06,1.4482518332975549e-06,0.4176245210727969
220,-0.46212829999999994,0.000255618,1.6738614694736884e-06,1.6738614694736884e-06,0.421455938697318
221,-0.4611052,0.0002721467,1.7820962341244162e-06,1.7820962341244162e-06,0.4233716475095785
222,-0.46005159999999995,0.0002885113,1.8892564239520073e-06,1.8892564239520073e-06,0.42528735632183906
