,potential_V,current_A,j_A/mm2,abs_j_A/mm2,progress
389,-0.4648951,0.0004378672,2.867282565493547e-06,2.867282565493547e-06,0.4658682634730539
390,-0.4649576,0.0004364752,2.858167342130922e-06,2.858167342130922e-06,0.46706586826347307
391,-0.4650767,0.00043417449999999996,2.8431016852412735e-06,2.8431016852412735e-06,0.4682634730538922
392,-0.46515959999999995,0.0004320863,2.8294275405388077e-06,2.8294275405388077e-06,0.46946107784431135
393,-0.46523100000000006,0.00042967769999999997,2.813655322872703e-06,2.813655322872703e-06,0.47065868263473054
394,-0.4653232,0.0004280005,2.802672526447564e-06,2.802672526447564e-06,0.4718562874251497
395,-0.46540410000000004,0.0004264235,2.79234586894551e-06,2.79234586894551e-06,0.47305389221556887
396,-0.46546909999999997,0.00042457510000000004,2.7802420048194506e-06,2.7802420048194506e-06,0.474251497005988
397,-0.46557029999999994,0.0004224249,2.766161865972959e-06,2.766161865972959e-06,0.4754491017964072
398,-0.4656983,0.0004203739,2.752731317756908e-06,2.752731317756908e-06,0.47664670658682634
399,-0.46575340000000004,0.00041845879999999997,2.740190682511389e-06,2.740190682511389e-06,0.4778443113772455
400,-0.46587570000000006,0.0004164709,2.727173331561273e-06,2.727173331561273e-06,0.47904191616766467
401,-0.465929,0.0004143797,2.7134795419808707e-06,2.7134795419808707e-06,0.4802395209580838
402,-0.4660526,0.00041140860000000003,2.6940239097016365e-06,2.6940239097016365e-06,0.481437125748503
403,-0.46613530000000003,0.000408726,2.6764574598506473e-06,2.6764574598506473e-06,0.48263473053892214
404,-0.4662259,0.0004057093,2.6567032254267755e-06,2.6567032254267755e-06,0.48383233532934133
405,-0.4663067,0.0004032072,2.640318742398311e-06,2.640318742398311e-06,0.48502994011976047
406,-0.4663714,0.0004005201,2.6227228252304167e-06,2.6227228252304167e-06,0.4862275449101796
407,-0.4664474,0.0003974413,2.6025619418332553e-06,2.6025619418332553e-06,0.4874251497005988
408,-0.4665397,0.00039485230000000005,2.5856084121738915e-06,2.5856084121738915e-06,0.48862275449101794
409,-0.4666501,0.0003930349,2.5737075451198435e-06,2.5737075451198435e-06,0.48982035928143713
