,potential_V,current_mA,j_mA/mm2,abs_j_mA/mm2,progress
199,-0.5009096,-0.00026421400000000003,-1.6456499535895106e-06,1.6456499535895106e-06,0.2922173274596182
200,-0.49986679999999994,-0.0002501913,-1.5583099352551315e-06,1.5583099352551315e-06,0.2936857562408223
201,-0.4988723,-0.0002365104,-1.4730988092358336e-06,1.4730988092358336e-06,0.2951541850220264
202,-0.49781450000000005,-0.0002228757,-1.3881754387020736e-06,1.3881754387020736e-06,0.2966226138032305
203,-0.49677170000000004,-0.00020922319999999999,-1.303141201336223e-06,1.303141201336223e-06,0.29809104258443464
204,-0.4957428,-0.000195518,-1.217778723405701e-06,1.217778723405701e-06,0.29955947136563876
205,-0.49474840000000003,-0.0001819696,-1.1333928701533672e-06,1.1333928701533672e-06,0.3010279001468429
206,-0.49368549999999994,-0.0001682305,-1.0478192469639767e-06,1.0478192469639767e-06,0.30249632892804695
207,-0.4927083,-0.000154707,-9.63588482707095e-07,9.63588482707095e-07,0.3039647577092511
208,-0.49162799999999995,-0.00014165209999999999,-8.822763812320947e-07,8.822763812320947e-07,0.3054331864904552
209,-0.49057510000000004,-0.0001277738,-7.958357545018636e-07,7.958357545018636e-07,0.3069016152716593
210,-0.489525,-0.00011475399999999999,-7.147422724541874e-07,7.147422724541874e-07,0.30837004405286345
211,-0.4885169,-0.00010203790000000001,-6.355403778731299e-07,6.355403778731299e-07,0.3098384728340675
212,-0.4874924,-8.882134e-05,-5.532213813376965e-07,5.532213813376965e-07,0.31130690161527164
213,-0.4864812,-7.57167e-05,-4.7159947558021483e-07,4.7159947558021483e-07,0.31277533039647576
214,-0.4854915,-6.258905e-05,-3.898342526425986e-07,3.898342526425986e-07,0.3142437591776799
215,-0.48445390000000005,-4.9697109999999996e-05,-3.0953714324385837e-07,3.0953714324385837e-07,0.31571218795888395
216,-0.48343959999999997,-3.637805e-05,-2.265797281528492e-07,2.265797281528492e-07,0.3171806167400881
217,-0.4823862,-2.319029e-05,-1.444401116603484e-07,1.444401116603484e-07,0.3186490455212922
218,-0.4814107,-9.765966e-06,-6.082706251242075e-08,6.082706251242075e-08,0.3201174743024963
219,-0.48034849999999996,3.23839e-06,2.017022698723283e-08,2.017022698723283e-08,0.32158590308370044
220,-0.4793451,1.671603e-05,1.0411535343963932e-07,1.0411535343963932e-07,0.3230543318649045
221,-0.47833760000000003,3.0219759999999995e-05,1.8822298077121628e-07,1.8822298077121628e-07,0.32452276064610863
222,-0.4772949000000001,4.379326e-05,2.7276516871374476e-07,2.7276516871374476e-07,0.32599118942731276
223,-0.4763050999999999,5.7756e-05,3.597317277642963e-07,3.597317277642963e-07,0.3274596182085169
224,-0.4752722,7.184158e-05,4.474633925257447e-07,4.474633925257447e-07,0.328928046989721
225,-0.47424170000000004,8.592119e-05,5.35157873299127e-07,5.35157873299127e-07,0.33039647577092507
226,-0.473246,0.0001000907,6.23412293859302e-07,6.23412293859302e-07,0.3318649045521292
227,-0.4721884,0.000114285,7.118211182828208e-07,7.118211182828208e-07,0.3333333333333333
228,-0.4711509,0.0001290073,8.035185768267693e-07,8.035185768267693e-07,0.33480176211453744
229,-0.47012139999999997,0.0001437766,8.95508773635226e-07,8.95508773635226e-07,0.33627019089574156
230,-0.4691258,0.0001587878,9.890056382348417e-07,9.890056382348417e-07,0.33773861967694563
231,-0.46807,0.0001738318,1.0827067967722417e-06,1.0827067967722417e-06,0.33920704845814975
232,-0.4670539000000001,0.0001892375,1.1786607942516104e-06,1.1786607942516104e-06,0.3406754772393539
234,-0.4650182,0.00022314419999999998,1.3898477838939965e-06,1.3898477838939965e-06,0.3436123348017621
235,-0.46394650000000004,0.0002395171,1.4918259611485165e-06,1.4918259611485165e-06,0.3450807635829662
236,-0.4629638,0.00025633009999999996,1.596545289684099e-06,1.596545289684099e-06,0.3465491923641703
237,-0.4619144,0.0002735424,1.7037516477732572e-06,1.7037516477732572e-06,0.34801762114537443
