scan,direction,a1,a2,j0,phi_corr,a1_var,a2_var,j0_var,phi_corr_se,ndata
0,up,26.230639803481484,25.86368535130595,1.7844412290217395e-06,-0.4794270632888832,0.3845496846737571,0.37142427452041715,2.3433173476166122e-15,3.840401450048545e-06,95
0,down,24.016040345641148,26.06860304905295,1.8881345542077841e-06,-0.48434453824468315,0.873923214312949,0.8143233867425237,6.030018387701957e-15,6.311918109653528e-06,95
1,up,26.480845700627007,24.875630833736686,1.971199915927986e-06,-0.48281247820268947,700.5613212358674,582.0864097651222,3.8570351656632105e-12,6.544296799635693e-06,346
1,down,11.340599338673872,22.066836749258414,3.215044013463849e-06,-0.4844835250231437,1167.035701427101,1231.0628715205212,4.524370636833913e-11,8.144440015147718e-06,346
2,up,27.60517347654458,27.028599296262335,1.6629027299808053e-06,-0.4730481953492486,27.4367167994112,23.0143733659696,1.0912801406042549e-13,1.941318580397706e-05,96
2,down,40.18607910889,28.510450811341276,3.096165773018762e-06,-0.48419562274996,1.0321355616546093,0.8930281809960172,1.3200635381187957e-14,8.582890425362897e-06,96
3,up,38.30244608943509,40.8740955009916,1.9072736704746662e-06,-0.48239574502516247,312.4069973348711,300.5229472130135,7.817008288675546e-13,9.086472175816285e-06,349
3,down,0.0016589118191230323,3.422416103930173,4.447304018403406e-05,-0.4844783972544565,33348.600535480684,33376.861739734246,2.2512652542886954e-05,5.999590632050839e-06,349
4,up,29.87983354359355,26.92290323665386,1.2769312003569984e-06,-0.5021503520872053,0.6123462473226237,0.5993199012332997,1.8093740218484878e-15,6.103918425636008e-06,97
4,down,23.075521541049426,27.653715657234198,1.765393623986267e-06,-0.5089719225245588,0.23614173313571638,0.26557745275063,1.6652950958239873e-15,2.7246955061429063e-06,97
5,up,19.428256853611106,3.262766707479159e-06,5.267965092588194e-06,-0.5033133413491794,28.045283195199914,8.32863878911813,4.260184271021121e-12,9.403447928577948e-06,360
5,down,1.7369887541640594e-06,15.104885039687673,6.8761687718779766e-06,-0.5085518321457142,0.8975722789699501,9.252886260874307,2.3189375433637804e-12,9.41498269757973e-06,360
6,up,30.741462079868413,24.96062711148591,1.4690462893479987e-06,-0.480631727965895,0.3325936453325452,0.3897857000381022,1.3488903544892294e-15,3.3143142413193874e-06,97
6,down,22.25591560484789,27.362705524217027,2.1395499433758734e-06,-0.5097313235650078,0.19158285497523395,0.15773994832036442,1.5837746285784832e-15,1.561864310581012e-06,97
7,up,26.292152065021874,21.605395742509636,1.9948348085242706e-06,-0.4878933717165745,469.8818036430455,496.90914813615643,3.5082442209062153e-12,7.509868703873349e-06,342
7,down,16.19222320858434,31.81240843626739,2.008291481149212e-06,-0.4937641372771423,246.4919611722336,285.7221036979811,1.932627942587718e-12,6.270634641162258e-06,342
