,potential_V,current_mA,j_mA/mm2,abs_j_mA/mm2,progress
6,-0.7154849,-0.03420602,-0.0002130512963941421,0.0002130512963941421,0.011385199240986717
7,-0.7145349,-0.03326732,-0.0002072046281198097,0.0002072046281198097,0.013282732447817837
8,-0.7134809,-0.03229751,-0.0002011641920282678,0.0002011641920282678,0.015180265654648957
9,-0.7124323,-0.03140786,-0.00019562303038955485,0.00019562303038955485,0.017077798861480076
10,-0.7113835000000001,-0.03059292,-0.00019054719802193528,0.00019054719802193528,0.018975332068311195
11,-0.7103345,-0.02980638,-0.0001856482543077631,0.0001856482543077631,0.020872865275142316
12,-0.7092837,-0.02903747,-0.00018085911858514993,0.00018085911858514993,0.022770398481973434
13,-0.7082379,-0.02830857,-0.00017631918409579132,0.00017631918409579132,0.024667931688804556
14,-0.7072,-0.02762777,-0.0001720788391920249,0.0001720788391920249,0.026565464895635674
15,-0.7061569999999999,-0.02697042,-0.00016798455199682684,0.00016798455199682684,0.028462998102466795
16,-0.7051168000000001,-0.02634098,-0.0001640641015029568,0.0001640641015029568,0.030360531309297913
17,-0.7040462,-0.02571967,-0.0001601942885003729,0.0001601942885003729,0.03225806451612903
18,-0.7030071999999999,-0.02512096,-0.00015646523900370135,0.00015646523900370135,0.03415559772296015
19,-0.7019312,-0.02457592,-0.00015307047169120305,0.00015307047169120305,0.036053130929791274
20,-0.7008904,-0.02402696,-0.00014965128876175005,0.00014965128876175005,0.03795066413662239
21,-0.6998321999999999,-0.023515,-0.00014646255935967564,0.00014646255935967564,0.03984819734345351
22,-0.698797,-0.02299276,-0.00014320980124783226,0.00014320980124783226,0.04174573055028463
23,-0.697771,-0.02248061,-0.00014001988843575242,0.00014001988843575242,0.043643263757115754
24,-0.6967124,-0.02199592,-0.00013700100951182973,0.00013700100951182973,0.04554079696394687
25,-0.6956851,-0.02150832,-0.00013396400572940247,0.00013396400572940247,0.04743833017077799
26,-0.694617,-0.02105093,-0.00013111516413784292,0.00013111516413784292,0.04933586337760911
27,-0.6935816,-0.02058672,-0.0001282238443555612,0.0001282238443555612,0.051233396584440226
28,-0.6925655,-0.02015074,-0.00012550835438619563,0.00012550835438619563,0.05313092979127135
29,-0.6915314,-0.0197187,-0.00012281740460325902,0.00012281740460325902,0.05502846299810247
30,-0.690501,-0.01930297,-0.00012022804122658039,0.00012022804122658039,0.05692599620493359
31,-0.6894421,-0.0188901,-0.00011765649128472076,0.00011765649128472076,0.058823529411764705
