,potential_V,current_mA,j_mA/mm2,abs_j_mA/mm2,progress
342,-0.46843959999999996,0.0003322532,2.069430322238664e-06,2.069430322238664e-06,0.40425531914893614
343,-0.4685210999999999,0.0003312457,2.0631551349728814e-06,2.0631551349728814e-06,0.40543735224586286
344,-0.46861720000000007,0.00033017239999999997,2.0564701141367877e-06,2.0564701141367877e-06,0.4066193853427896
345,-0.4687162,0.00032912940000000003,2.0499738160541967e-06,2.0499738160541967e-06,0.4078014184397163
346,-0.4687976,0.00032803019999999995,2.0431274777489376e-06,2.0431274777489376e-06,0.408983451536643
347,-0.4689293,0.0003272062,2.037995215409479e-06,2.037995215409479e-06,0.4101654846335697
348,-0.4690170999999999,0.0003261516,2.031426667031817e-06,2.031426667031817e-06,0.41134751773049644
349,-0.46910509999999994,0.0003251014,2.0248855239384926e-06,2.0248855239384926e-06,0.41252955082742315
350,-0.4692159000000001,0.0003240589,2.0183923400927575e-06,2.0183923400927575e-06,0.41371158392434987
351,-0.4692978,0.0003228646,2.010953673937399e-06,2.010953673937399e-06,0.4148936170212766
352,-0.4693825,0.0003214274,2.002002111517168e-06,2.002002111517168e-06,0.4160756501182033
353,-0.4694674,0.0003198538,1.992200985282493e-06,1.992200985282493e-06,0.41725768321513
354,-0.46955420000000003,0.0003186185,1.984506951704904e-06,1.984506951704904e-06,0.41843971631205673
355,-0.4696581,0.00031764580000000003,1.9784485153243318e-06,1.9784485153243318e-06,0.41962174940898345
356,-0.4697095,0.00031672520000000003,1.9727145824242033e-06,1.9727145824242033e-06,0.42080378250591016
357,-0.46983909999999995,0.0003157556,1.9666754543121412e-06,1.9666754543121412e-06,0.4219858156028369
358,-0.46995109999999995,0.00031482689999999997,1.960891070774938e-06,1.960891070774938e-06,0.4231678486997636
359,-0.4700318,0.0003135071,1.952670731168606e-06,1.952670731168606e-06,0.4243498817966903
360,-0.47011440000000004,0.0003123041,1.9451778772919444e-06,1.9451778772919444e-06,0.425531914893617
361,-0.4702188,0.0003112777,1.938784971872988e-06,1.938784971872988e-06,0.42671394799054374
362,-0.47030559999999993,0.00030985029999999996,1.9298944484951434e-06,1.9298944484951434e-06,0.42789598108747046
363,-0.47037290000000004,0.0003082219,1.9197520019009996e-06,1.9197520019009996e-06,0.42907801418439717
364,-0.47049440000000003,0.0003066582,1.9100125375560826e-06,1.9100125375560826e-06,0.4302600472813239
365,-0.47055740000000007,0.0003052713,1.9013742673636127e-06,1.9013742673636127e-06,0.4314420803782506
366,-0.47064940000000005,0.0003039447,1.8931115741360326e-06,1.8931115741360326e-06,0.4326241134751773
367,-0.47072120000000006,0.0003026466,1.885026392409271e-06,1.885026392409271e-06,0.43380614657210403
368,-0.47081090000000003,0.0003013651,1.8770446033461441e-06,1.8770446033461441e-06,0.4349881796690307
369,-0.47095519999999996,0.0003001582,1.8695274584220025e-06,1.8695274584220025e-06,0.4361702127659574
370,-0.471026,0.0002989399,1.8619393088975335e-06,1.8619393088975335e-06,0.4373522458628841
371,-0.47108829999999996,0.0002978612,1.8552206543033898e-06,1.8552206543033898e-06,0.43853427895981084
372,-0.4712045,0.00029664569999999997,1.847649944505317e-06,1.847649944505317e-06,0.43971631205673756
373,-0.4713017,0.0002953901,1.8398294729113555e-06,1.8398294729113555e-06,0.4408983451536643
374,-0.47135459999999996,0.0002944356,1.8338843947523587e-06,1.8338843947523587e-06,0.442080378250591
375,-0.47148549999999995,0.0002937945,1.8298913202549958e-06,1.8298913202549958e-06,0.4432624113475177
376,-0.4715925,0.0002927251,1.8232305904663827e-06,1.8232305904663827e-06,0.4444444444444444
377,-0.47167070000000005,0.0002910465,1.8127754744918494e-06,1.8127754744918494e-06,0.44562647754137114
378,-0.471764,0.0002901414,1.8071380829342713e-06,1.8071380829342713e-06,0.44680851063829785
379,-0.47182820000000003,0.0002891827,1.8011668451856803e-06,1.8011668451856803e-06,0.44799054373522457
380,-0.47193900000000005,0.0002884021,1.7963048986053628e-06,1.7963048986053628e-06,0.4491725768321513
